number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,user_attrs_cv_scores,user_attrs_cv_std,user_attrs_params,state,kernel,params_gamma_mode,params_gamma_type,params_gamma_value,params_coef0,params_degree,params_gamma_value 
7,-0.10190904695200027,2025-09-22 02:19:47.502469,2025-09-22 02:19:47.504458,0 days 00:00:00.001989,0.014993298055091557,0.0012172958098369967,"[-0.022218178852116965, -7.401060538669846e-05, -0.00011495620487389502, -0.22271803129469547, -0.2644200578029283]",0.11669420323475142,"{'kernel': 'rbf', 'C': 0.014993298055091557, 'gamma': 0.002148145718198267, 'epsilon': 0.0012172958098369967}",COMPLETE,rbf,,manual,0.002148145718198267,,,
8,0.880638306692371,2025-09-22 02:19:47.504675,2025-09-22 02:19:47.506863,0 days 00:00:00.002188,93.84800715909525,0.16172900811143134,"[0.9357409861257185, 0.8534117972832345, 0.9043663888083145, 0.7339691124226004, 0.9757032488219869]",0.0835341914979632,"{'kernel': 'rbf', 'C': 93.84800715909525, 'gamma': 'scale', 'epsilon': 0.16172900811143134}",COMPLETE,rbf,scale,auto,,,,
9,-0.11330904594331825,2025-09-22 02:19:47.507067,2025-09-22 02:19:47.508973,0 days 00:00:00.001906,0.0028009403633756772,0.18274508859816008,"[-0.014139600647234518, 0.011394999128167327, -0.0028562905394040605, -0.2261437654519518, -0.3348005722061682]",0.14097918927748146,"{'kernel': 'rbf', 'C': 0.0028009403633756772, 'gamma': 'scale', 'epsilon': 0.18274508859816008}",COMPLETE,rbf,scale,auto,,,,
10,0.47048759417005764,2025-09-22 02:19:47.509210,2025-09-22 02:19:47.512379,0 days 00:00:00.003169,655.1395418988218,0.004016658883118541,"[0.665597327765957, 0.5143572628236235, 0.2714897370557309, 0.34030567033445536, 0.5606879728705214]",0.14468997527055988,"{'kernel': 'rbf', 'C': 655.1395418988218, 'gamma': 2.4535199910024463, 'epsilon': 0.004016658883118541}",COMPLETE,rbf,,manual,2.4535199910024463,,,
11,0.8388401685977174,2025-09-22 02:19:47.512553,2025-09-22 02:19:47.516475,0 days 00:00:00.003922,886.4682325710681,0.03392513394576353,"[0.8819706753233538, 0.8876631257006138, 0.8078807399794902, 0.6277862592253116, 0.9889000427598175]",0.12021990389779016,"{'kernel': 'rbf', 'C': 886.4682325710681, 'gamma': 'scale', 'epsilon': 0.03392513394576353}",COMPLETE,rbf,scale,auto,,,,
12,0.7980292816590877,2025-09-22 02:19:47.516688,2025-09-22 02:19:47.521132,0 days 00:00:00.004444,55.98498421051574,0.00010233150170925841,"[0.8139656761348493, 0.9074290317170134, 0.8172882167225225, 0.473863187205393, 0.97760029651566]",0.17316038041733584,"{'kernel': 'rbf', 'C': 55.98498421051574, 'gamma': 'scale', 'epsilon': 0.00010233150170925841}",COMPLETE,rbf,scale,auto,,,,
13,0.8014075134480987,2025-09-22 02:19:47.521466,2025-09-22 02:19:47.525872,0 days 00:00:00.004406,59.89309871765423,0.0018185162380652045,"[0.8179110814397836, 0.9070424775182613, 0.8197820330868297, 0.483850930136978, 0.978451045058641]",0.1696793046024651,"{'kernel': 'rbf', 'C': 59.89309871765423, 'gamma': 'scale', 'epsilon': 0.0018185162380652045}",COMPLETE,rbf,scale,auto,,,,
14,0.8109679035914794,2025-09-22 02:19:47.526082,2025-09-22 02:19:47.529301,0 days 00:00:00.003219,157.2111538558081,0.022841780552473313,"[0.9248773975592427, 0.7450060149744346, 0.8468282868141777, 0.5812279861555454, 0.9568998324539966]",0.1361534929230996,"{'kernel': 'rbf', 'C': 157.2111538558081, 'gamma': 0.5324652664569173, 'epsilon': 0.022841780552473313}",COMPLETE,rbf,,manual,0.5324652664569173,,,
15,0.5824298775242001,2025-09-22 02:19:47.529504,2025-09-22 02:19:47.532247,0 days 00:00:00.002743,6.9310176898065325,0.8668706346392596,"[0.754667558398354, 0.5845549114126403, 0.5656272806575473, 0.25461474115904237, 0.7526848959934165]",0.18242927215085702,"{'kernel': 'rbf', 'C': 6.9310176898065325, 'gamma': 'scale', 'epsilon': 0.8668706346392596}",COMPLETE,rbf,scale,auto,,,,
16,0.7991161522115477,2025-09-22 02:19:47.532455,2025-09-22 02:19:47.535619,0 days 00:00:00.003164,0.6214819772751933,0.13898753749315815,"[0.8057603306790192, 0.8373620554166393, 0.9171619195805496, 0.7431374964745818, 0.6921589589069489]",0.07747922109950825,"{'kernel': 'rbf', 'C': 0.6214819772751933, 'gamma': 0.08552958423025202, 'epsilon': 0.13898753749315815}",COMPLETE,rbf,,manual,0.08552958423025202,,,
17,0.852355022551839,2025-09-22 02:19:47.535813,2025-09-22 02:19:47.539988,0 days 00:00:00.004175,13.739583011139764,0.0007957220134056693,"[0.8631646796453816, 0.8995005117829297, 0.8799163125375158, 0.6415556138223777, 0.97763799497099]",0.11245566632754588,"{'kernel': 'rbf', 'C': 13.739583011139764, 'gamma': 'auto', 'epsilon': 0.0007957220134056693}",COMPLETE,rbf,auto,auto,,,,
